Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 18 Mar 2019 18:07:09 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"152317","NM84SW 813","Lismore, An Sailean, Limekilns","Building(S) (Period Unassigned), Lime Kiln(S) (Period Unassigned)","183640","741437","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 83640 41437","http://canmore.org.uk/site/152317",
"155560","NM84NE 31","Lismore, Port Ramsay, Limekilns","Lime Kiln(S) (Period Unassigned)","188430","745613","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88430 45613","http://canmore.org.uk/site/155560",
"264638","NM83NW 273","Lismore, Port Kilcheran, Double Limekiln","Lime Kiln(S) (Period Unassigned)","182565","738642","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 82565 38642","http://canmore.org.uk/site/264638",
"281487","NM84SW 20","Lismore, Baleveolan","No Class (Event)","184800","742200","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 848 422","http://canmore.org.uk/site/281487",
"281488","NM84SE 60","Lismore, Castle Coeffin","Fish Trap (Period Unassigned)","185400","743700","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 854 437","http://canmore.org.uk/site/281488",
"281489","NM94NW 46","Lismore, Eilean Nan Caorach","Ballast Mound (Period Unassigned), Landing Point (Period Unassigned), Lime Kiln (Period Unassigned), Storehouse (Period Unassigned)","190100","746800","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 901 468","http://canmore.org.uk/site/281489",
"281505","NM84SW 21","Lismore, Port An Dreadhain","Fish Trap (Period Unassigned)","182900","741100","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 829 411","http://canmore.org.uk/site/281505",
"281506","NM84SE 59","Lismore, Port Moluag, Former Boatyard And Cottages","Cottage(S) (Period Unassigned), Shipyard (Period Unassigned)","187100","743300","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 871 433","http://canmore.org.uk/site/281506",
"281507","NM84SW 22","Lismore, Port Nan Gallan","Boathouse (Period Unassigned)","182100","740200","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 821 402","http://canmore.org.uk/site/281507",
"22660","NM73NE 50","Lismore, Lighthouse","Lighthouse (Period Unassigned)","177812","735105","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 77812 35105","http://canmore.org.uk/site/22660",
"23083","NM84SE 10","Lismore, Port Moluag","Chapel (Period Unassigned), Well (Period Unassigned)","187150","743350","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8715 4335","http://canmore.org.uk/site/23083",
"23085","NM84SE 12","Lismore, Carn Mor","Cairn (Period Unassigned)","185930","743540","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8593 4354","http://canmore.org.uk/site/23085",
"23093","NM84SE 2","Lismore, Castle Coeffin","Castle (Medieval), Hall House (Medieval)","185365","743772","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 85365 43772","http://canmore.org.uk/site/23093",
"23094","NM84SE 20","Lismore, Clachan, Tobar A' Bhaistidh","Well (Period Unassigned)","186170","743430","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8617 4343","http://canmore.org.uk/site/23094",
"23098","NM84SE 3","Lismore, St Moluag's Chair","Natural Feature (Period Unknown)","186960","744050","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8696 4405","http://canmore.org.uk/site/23098",
"23288","NM94NE 3","Beinn Churalain","Platform(S) (Period Unassigned)","199500","745400","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 995 454","http://canmore.org.uk/site/23288",
"76781","NM84SE 26","Lismore, Tirefour Castle","Cultivation Remains (Period Unassigned), Farmstead (Period Unassigned)","186640","742920","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8664 4292","http://canmore.org.uk/site/76781",
"89080","NN25NW 10","Stirling - Tyndrum - Fort William Military Road","Military Road (18th Century)","221840","757000","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 2184 5700","http://canmore.org.uk/site/89080",
"118082","NM84SW 8002","La Naide: Loch Linnhe","Smack (19th Century)","182000","743000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 82 43","http://canmore.org.uk/site/118082",
"118086","NM84NE 8002","Mary Joanna: Rubh Aird Ghainimh, Lismore, Loch Linnhe","Smack (19th Century)","189300","746300","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 893 463","http://canmore.org.uk/site/118086",
"150601","NS17NE 66","Dunoon, Lismore Lodge","House (19th Century)","217990","677830","ARGYLL AND BUTE","ARGYLL","DUNOON AND KILMUN","NS 1799 7783","http://canmore.org.uk/site/150601",
"152015","NM83NW 31","Lismore, Kilcheran Loch","Farmstead (Period Unassigned)","182850","739580","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8285 3958","http://canmore.org.uk/site/152015",
"152090","NM94SE 19","Inverfolla","Farmstead (Period Unassigned)(Possible)","195930","744920","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 9593 4492","http://canmore.org.uk/site/152090",
"152315","NM84SW 811","Lismore, Balliveolan","Farmstead (Period Unassigned)","183520","741290","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8352 4129","http://canmore.org.uk/site/152315",
"152316","NM84SW 812","Lismore, Balliveolan","Building (Period Unassigned), Kiln (Period Unassigned)","183440","741290","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8344 4129","http://canmore.org.uk/site/152316",
"212961","NM84NE 8003","Lora: Port Ramsay, Lismore, Loch Linnhe","Smack (19th Century)","188200","745400","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 882 454","http://canmore.org.uk/site/212961",
"275480","NM84SW 8007","Unknown: Lismore, Loch Linnhe","Craft (19th Century)","","","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM  ","http://canmore.org.uk/site/275480",
"284533","NM84SW 8009","Christian Turner: Lismore, Loch Linnhe","Craft (19th Century)","","","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM  ","http://canmore.org.uk/site/284533",
"293993","NM84NE 8004","Dragon: Eilean Gainimh, Lismore, Loch Linnhe","Steamship (20th Century)","189100","747400","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 891 474","http://canmore.org.uk/site/293993",
"295455","NM84SE 61","Balnagowen","Organic Material","186400","743300","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 864 433","http://canmore.org.uk/site/295455",
"295456","NM83NW 55","Fiart","Organic Material","180300","737100","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 803 371","http://canmore.org.uk/site/295456",
"320573","NM84SE 62","Lismore, Ballimackillichan","No Class (Event)","186161","743871","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86161 43871","http://canmore.org.uk/site/320573",
"340356","NM84SE 63","Lismore, Clachan, War Memorial","Grave Slab(S) (Medieval), War Memorial (20th Century)","186080","743445","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86080 43445","http://canmore.org.uk/site/340356",
"348085","NM84SE 64","Lismore, Clachan","No Class (Event)","185857","743414","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 85857 43414","http://canmore.org.uk/site/348085",
"11734","NG74NW 1","Applecross, St Maelrubha's Monastery","Cross Slab (Early Medieval), Monastic Settlement (Early Medieval)","171350","845830","HIGHLAND","ROSS AND CROMARTY","APPLECROSS","NG 7135 4583","http://canmore.org.uk/site/11734",
"21781","NM33NE 1","Cille Mhic Eoghainn, Ulva","Burial Ground (Period Unassigned)","139530","738900","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 3953 3890","http://canmore.org.uk/site/21781",
"21812","NM34SE 1","Dun Ban, Ulva","Island Dwelling (Medieval)","138410","741600","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 3841 4160","http://canmore.org.uk/site/21812",
"21818","NM34SE 6","Glacgallon, Ulva","Head Dyke (Post Medieval), Township (Period Unassigned)","138100","741000","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 381 410","http://canmore.org.uk/site/21818",
"21820","NM34SE 8","Baligortan, Ulva","Corn Drying Kiln (Period Unassigned), Field System (Period Unassigned), Township (Period Unassigned)","138940","741740","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 3894 4174","http://canmore.org.uk/site/21820",
"22011","NM43NW 10","Ormaig Mill, Ulva","Cruck Framed Mill (Post Medieval)","140930","739150","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4093 3915","http://canmore.org.uk/site/22011",
"22012","NM43NW 11","Ulva, Ferry House","Ferrykeepers Cottage (19th Century), Inn (19th Century)","144363","739807","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 44363 39807","http://canmore.org.uk/site/22012",
"22013","NM43NW 12","Dun Bhioramuill, Ulva","Burial Ground (Period Unassigned), Enclosure (Period Unassigned)","143830","738350","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4383 3835","http://canmore.org.uk/site/22013",
"22014","NM43NW 13","Ormaig, Ulva","Field System (Period Unassigned), Township (Period Unassigned)","142700","738600","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 427 386","http://canmore.org.uk/site/22014",
"22015","NM43NW 14","Ormaig, Ulva","Township (Period Unassigned)","143000","739700","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 430 397","http://canmore.org.uk/site/22015",
"22016","NM43NW 15","Ormaig, Ulva","Township (Period Unassigned)","142500","739500","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 425 395","http://canmore.org.uk/site/22016",
"22017","NM43NW 16","Ulva Church","Church (Period Unassigned), Hall (Period Unassigned), War Memorial(S) (Period Unassigned)","143622","739803","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 43622 39803","http://canmore.org.uk/site/22017",
"22018","NM43NW 17","Cragaig, Ulva","Township (Period Unassigned)","140700","739000","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 407 390","http://canmore.org.uk/site/22018",
"22020","NM43NW 19","Ulva, Old House","House (Period Unassigned)","144250","738930","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4425 3893","http://canmore.org.uk/site/22020",
"22022","NM43NW 22","A' Chrannag, Ulva","Cave (Period Unassigned), Animal Remains","143140","738430","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4314 3843","http://canmore.org.uk/site/22022",
"22024","NM43NW 3","Ulva","Standing Stone (Prehistoric)","142540","739280","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4254 3928","http://canmore.org.uk/site/22024",
"22027","NM43NW 6","Ormaig, Ulva","Township (Period Unassigned)","141500","738700","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 415 387","http://canmore.org.uk/site/22027",
"22029","NM43NW 8","Ormaig, Ulva","Fort (Period Unassigned), Hut Circle (Prehistoric)(Possible)","142720","738260","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4272 3826","http://canmore.org.uk/site/22029",
"22030","NM43NW 9","Cragaig, Ulva","Standing Stone(S) (Prehistoric)","140280","739010","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 4028 3901","http://canmore.org.uk/site/22030",
"22061","NM44SW 5","Culinish, Ulva","Head Dyke (Post Medieval), Township (Period Unassigned)","141000","741400","ARGYLL AND BUTE","ARGYLL","KILNINIAN AND KILMORE","NM 410 414","http://canmore.org.uk/site/22061",
"22151","NM48NE 18","Eigg, Kildonnan","Font (Medieval)(Possible), Human Remains (Medieval), Basin (Stone)","148830","785400","HIGHLAND","INVERNESS-SHIRE","SMALL ISLES","NM 4883 8540","http://canmore.org.uk/site/22151",
"22152","NM48NE 190","Eigg, Kildonnan, St Donnan's Church And Burial-ground","Burial Ground (Medieval), Cemetery (Modern), Church (16th Century), Sheela Na Gig (Possible)","148855","785362","HIGHLAND","INVERNESS-SHIRE","SMALL ISLES","NM 48855 85362","http://canmore.org.uk/site/22152",
"22158","NM48NE 240","Eigg, Kildonnan","Cross Slab(S) (Early Medieval), Monastery (Early Medieval)","148000","785000","HIGHLAND","INVERNESS-SHIRE","SMALL ISLES","NM 48 85","http://canmore.org.uk/site/22158",
"22177","NM48SE 15","Eigg, Kildonnan","Fort (Prehistoric)","149144","784761","HIGHLAND","INVERNESS-SHIRE","SMALL ISLES","NM 49144 84761","http://canmore.org.uk/site/22177",
"22656","NM73NE 1","Bernera Island, Chapel And Burial-ground","Burial Ground (Period Unassigned), Chapel (Period Unassigned)","179450","739180","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 7945 3918","http://canmore.org.uk/site/22656",
"22657","NM73NE 2","Lismore, Dun Chruban","Dun (Period Unassigned)","179240","735980","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 7924 3598","http://canmore.org.uk/site/22657",
"22658","NM73NE 3","Lismore, An Dun, Sloc A' Bhrighide","Dun (Period Unassigned)","179980","736510","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 7998 3651","http://canmore.org.uk/site/22658",
"22659","NM73NE 4","Loch Linnhe, Eilean Musdile","Standing Stone (Prehistoric)","177900","735100","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 779 351","http://canmore.org.uk/site/22659",
"22661","NM73NE 6","Lismore, Dalnarrow","Cultivation Remains (Period Unassigned), Farmhouse (Period Unassigned), Farmstead (Period Unassigned)","179200","736100","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 792 361","http://canmore.org.uk/site/22661",
"23001","NM83NW 1","Lismore, Balygrundle South","Cairn (Period Unassigned)","184020","739580","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8402 3958","http://canmore.org.uk/site/23001",
"23002","NM83NW 10","Lismore, Aon Garbh","Cairn(S) (Period Unassigned)","180210","737510","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8021 3751","http://canmore.org.uk/site/23002",
"23003","NM83NW 11","Lismore, Kilcheran","Human Remains (Period Unassigned)","182620","738730","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8262 3873","http://canmore.org.uk/site/23003",
"23004","NM83NW 12","Lismore, Barr Mor","Cairn (Period Unassigned)","181490","738860","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8149 3886","http://canmore.org.uk/site/23004",
"23005","NM83NW 13","Lismore, Barr Mor","Cairn (Period Unassigned)","181230","738550","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8123 3855","http://canmore.org.uk/site/23005",
"23006","NM83NW 14","Lismore, Balygrundle South","Cairn (Period Unassigned)","183650","739460","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8365 3946","http://canmore.org.uk/site/23006",
"23007","NM83NW 15","Lismore, Barr Mor","Findspot, Socketed Axehead (Bronze)","181200","738600","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 812 386","http://canmore.org.uk/site/23007",
"23008","NM83NW 16","Lismore, Achadh Nan Aird","Township (Period Unassigned)","180950","738230","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8095 3823","http://canmore.org.uk/site/23008",
"23010","NM83NW 18","Lismore, Kilcheran","Fort (Period Unassigned)","182660","738770","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8266 3877","http://canmore.org.uk/site/23010",
"23011","NM83NW 19","Lismore, Druim An Uinnsinn","Cairn (Period Unassigned)","182410","739590","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8241 3959","http://canmore.org.uk/site/23011",
"23012","NM83NW 2","Lismore, Sean Dun","Cultivation Remains (Period Unassigned), Dun (Period Unassigned), Enclosure (Period Unassigned)","184480","739960","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8448 3996","http://canmore.org.uk/site/23012",
"23013","NM83NW 20","Lismore, Druim An Uinsinn","Cairn (Period Unassigned)(Possible)","182200","739340","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8220 3934","http://canmore.org.uk/site/23013",
"23014","NM83NW 21","Lismore, Kilcheran","Dun (Period Unassigned)","182210","738340","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8221 3834","http://canmore.org.uk/site/23014",
"23015","NM83NW 22","Lismore, Balygrundle North","Cairn (Period Unassigned), Cultivation Remains (Period Unassigned)","183670","739970","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8367 3997","http://canmore.org.uk/site/23015",
"23016","NM83NW 23","Lismore, Fiart","Dun (Period Unassigned)","180670","736870","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8067 3687","http://canmore.org.uk/site/23016",
"23017","NM83NW 24","Lismore, Achadh Nan Aird","Cultivation Remains (Period Unassigned)","180700","738200","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 807 382","http://canmore.org.uk/site/23017",
"23018","NM83NW 3","Lismore, Achadun Castle","Castle (Medieval)","180432","739270","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 80432 39270","http://canmore.org.uk/site/23018",
"23019","NM83NW 4","Lismore, Barr Mor","Cist (Period Unassigned)","181460","738840","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8146 3884","http://canmore.org.uk/site/23019",
"23020","NM83NW 5","Lismore, Loch Fiart, An Dun","Broch (Iron Age)(Possible)","181130","737680","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8113 3768","http://canmore.org.uk/site/23020",
"23021","NM83NW 6","Lismore, Barr Mor","Enclosure (Period Unassigned)","181340","738540","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8134 3854","http://canmore.org.uk/site/23021",
"23022","NM83NW 7","Lismore, Aon Garbh","Cist (Period Unassigned)","180390","737720","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8039 3772","http://canmore.org.uk/site/23022",
"23023","NM83NW 8","Lismore, Eilean Na Cloiche","Cave (Period Unassigned), Cist (Period Unassigned)(Possible), Midden (Period Unassigned)(Possible)","183820","738330","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8382 3833","http://canmore.org.uk/site/23023",
"23024","NM83NW 9","Eilean Na Cloiche","Enclosure (Period Unassigned)","183830","738310","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8383 3831","http://canmore.org.uk/site/23024",
"23079","NM84NE 2","Lismore, Park","Dun (Period Unassigned)(Possible), Enclosure (Period Unassigned)","188760","745880","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8876 4588","http://canmore.org.uk/site/23079",
"23084","NM84SE 11","Lismore, Cnoc Aingil","Cinerary Urn","186000","743000","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86 43","http://canmore.org.uk/site/23084",
"23086","NM84SE 13","Lismore, Cnoc Aingil","Cairn (Period Unassigned)","186380","743970","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8638 4397","http://canmore.org.uk/site/23086",
"23087","NM84SE 14","Lismore, Loch Baile A'ghobhainn","Cairn (Period Unassigned)(Possible)","185250","741830","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8525 4183","http://canmore.org.uk/site/23087",
"23088","NM84SE 15","Lismore, Castle Coeffin","Cultivation Remains (Period Unassigned), Fort (Period Unassigned)","185490","743870","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8549 4387","http://canmore.org.uk/site/23088",
"23089","NM84SE 16","Lismore, Clachan","Burial Ground (Period Unassigned), Chapel (Period Unassigned)(Possible), Cross (Period Unassigned)","186070","743440","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8607 4344","http://canmore.org.uk/site/23089",
"23090","NM84SE 17","Lismore, Clach Na H'eala, Clachan","Sanctuary Marker (Period Unassigned)","186090","743420","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8609 4342","http://canmore.org.uk/site/23090",
"23091","NM84SE 18","Lismore, Clachan","Nunnery (Period Unassigned)(Possible)","186100","743400","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 861 434","http://canmore.org.uk/site/23091",
"23092","NM84SE 19","Lismore, Clachan","Font (Period Unassigned)(Possible)","186000","743400","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 860 434","http://canmore.org.uk/site/23092",
"23097","NM84SE 23","Lismore","Standing Stone (Prehistoric)","186200","743500","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 862 435","http://canmore.org.uk/site/23097",
"23099","NM84SE 4","Lismore, Killandrist, St Andrew's Chapel","Chapel (Period Unassigned), Well (Period Unassigned)","185890","742730","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8589 4273","http://canmore.org.uk/site/23099",
"23104","NM84SE 9","Lismore, Clachan","Burial Ground (Period Unassigned)(Possible), Enclosure (Period Unassigned)","185610","743020","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8561 4302","http://canmore.org.uk/site/23104",
"23105","NM84SW 1","Dun Mor, Balygrundle, Lismore","Dun (Period Unassigned)","183720","740030","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8372 4003","http://canmore.org.uk/site/23105",
"23106","NM84SW 2","Lismore, Dun Cuilein","Dun (Period Unassigned)","182500","740180","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8250 4018","http://canmore.org.uk/site/23106",
"23107","NM84SW 3","Lismore, Killean, Cill An T-suidhe","Burial Ground (Period Unassigned), Chapel (Period Unassigned)(Possible)","184830","740510","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8483 4051","http://canmore.org.uk/site/23107",
